skill_id,lang,name,advice,next_steps
beachvolley:fingerslag,sv,Fingerslag,Håll handleden rak och fingrarna ihop.|Slå bollen med fingertopparna för bättre kontroll.|Följ igenom slaget för att ge bollen rätt riktning.|Öva på att placera bollen exakt där du vill.,Öva fingerslag mot vägg 50 ggr per dag.|Filma dig själv framifrån och bakifrån och jämför.|Öva med partner: växla fingerslag 10 i rad utan tapp.|Fokusera enbart på handledsrörelsen nästa session.
beachvolley:fingerslag,en,Fingerslag,Håll handleden rak och fingrarna ihop.|Slå bollen med fingertopparna för bättre kontroll.|Följ igenom slaget för att ge bollen rätt riktning.|Öva på att placera bollen exakt där du vill.,Öva fingerslag mot vägg 50 ggr per dag.|Filma dig själv framifrån och bakifrån och jämför.|Öva med partner: växla fingerslag 10 i rad utan tapp.|Fokusera enbart på handledsrörelsen nästa session.
beachvolley:bagger,sv,Bagger,Använd hela armen för att skapa kraft.|Håll handleden avslappnad för bättre känsla.|Slå bollen framför kroppen.|Fokusera på att få bollen över nätet med precision.,Öva bagger mot vägg med jämnt tempo.|Träna fotarbete – positionera dig rätt före slag.|Öva med partner: serve–bagger 20 i rad.|Jobba på armvinkeln vid kontakt.
beachvolley:bagger,en,Bagger,Använd hela armen för att skapa kraft.|Håll handleden avslappnad för bättre känsla.|Slå bollen framför kroppen.|Fokusera på att få bollen över nätet med precision.,Öva bagger mot vägg med jämnt tempo.|Träna fotarbete – positionera dig rätt före slag.|Öva med partner: serve–bagger 20 i rad.|Jobba på armvinkeln vid kontakt.
beachvolley:underarmsserve,sv,Underarmsserve,"Stå med fötterna axelbrett isär.|Slå bollen med underarmen, inte handen.|Håll bollen stilla innan serve.|Öva på att variera servens riktning och hastighet.",Öva servens precision: sikta på specifika zoner.|Variera kraft – träna både låg och hög hastighet.|Filma servens från sidan för att kontrollera kroppspositionen.|Öva 20 serves i rad med konsekvent teknik.
beachvolley:underarmsserve,en,Underarmsserve,"Stå med fötterna axelbrett isär.|Slå bollen med underarmen, inte handen.|Håll bollen stilla innan serve.|Öva på att variera servens riktning och hastighet.",Öva servens precision: sikta på specifika zoner.|Variera kraft – träna både låg och hög hastighet.|Filma servens från sidan för att kontrollera kroppspositionen.|Öva 20 serves i rad med konsekvent teknik.
beachvolley:overarmsserve,sv,Överarmsserve,Kasta bollen uppåt och slå den när den faller.|Använd hela kroppen för att generera kraft.|Håll blicken på bollen hela tiden.|Öva på att träffa bollen i mitten för bättre kontroll.,Öva kastet separat – konsekvent höjd och position.|Fokusera på höftrotation för mer kraft.|Träna på att variera riktning (kors/linje).|Filma utifrån sidan – kontrollera armbågens höjd.
beachvolley:overarmsserve,en,Överarmsserve,Kasta bollen uppåt och slå den när den faller.|Använd hela kroppen för att generera kraft.|Håll blicken på bollen hela tiden.|Öva på att träffa bollen i mitten för bättre kontroll.,Öva kastet separat – konsekvent höjd och position.|Fokusera på höftrotation för mer kraft.|Träna på att variera riktning (kors/linje).|Filma utifrån sidan – kontrollera armbågens höjd.
beachvolley:spike,sv,Spike,Hoppa högt och sträck ut armen helt.|Kontakta bollen framför pannan.|Använd handleden för att styra riktningen.|Följ igenom slaget för maximal kraft.,Öva ansatsen – 3-stegsansats tills den sitter.|Träna hoppet separat för att bygga explosivitet.|Öva spiken mot med nät utan motståndare.|Filma framifrån – kontrollera höjden på bollkontakten.
beachvolley:spike,en,Spike,Hoppa högt och sträck ut armen helt.|Kontakta bollen framför pannan.|Använd handleden för att styra riktningen.|Följ igenom slaget för maximal kraft.,Öva ansatsen – 3-stegsansats tills den sitter.|Träna hoppet separat för att bygga explosivitet.|Öva spiken mot med nät utan motståndare.|Filma framifrån – kontrollera höjden på bollkontakten.
beachvolley:alternativa-anfall,sv,Alternativa anfall,Variera dina anfall för att överraska motståndaren.|Öva på olika typer av slag som tipp och roll.|Använd kroppen för att skapa vinklar.|Kommunicera med din partner om vilket anfall du ska göra.,"Öva tipp och roll 10 ggr vardera per träning.|Träna att bestämma anfallstyp SENT i hoppet.|Öva med partner: blockeraren väljer sida, anfallaren anpassar.|Filma sidoprofil – kontrollera hur väl du döljer anfallsintentionen."
